date,value
1980-02-04,41.9
1980-02-11,41.9
1980-02-18,43.2
1980-02-25,44.4
1980-03-03,45.9
1980-03-10,46.7
1980-03-17,47.2
1980-03-24,47.6
1980-03-31,47.4
1980-04-07,46.9
1980-04-14,46.9
1980-04-21,46.6
1980-04-28,46.7
1980-05-05,46.6
1980-05-12,48.0
1980-05-19,49.6
1980-05-26,51.1
1980-06-02,52.0
1980-06-09,53.4
1980-06-16,54.4
1980-06-23,55.3
1980-06-30,56.2
1980-07-07,56.8
1980-07-14,57.8
1980-07-21,58.4
1980-07-28,58.9
1980-08-04,59.5
1980-08-11,60.1
1980-08-18,60.4
1980-08-25,60.5
1980-09-01,60.3
1980-09-08,60.0
1980-09-15,59.9
1980-09-22,59.8
1980-09-29,59.9
1980-10-06,59.8
1980-10-13,60.1
1980-10-20,60.0
1980-10-27,60.2
1980-11-03,60.9
1980-11-10,61.0
1980-11-17,60.9
1980-11-24,60.7
1980-12-01,60.5
1980-12-08,60.6
1980-12-15,60.7
1980-12-22,60.5
1980-12-29,59.8
1981-01-05,59.0
1981-01-12,59.9
1981-01-19,62.1
1981-01-26,64.7
1981-02-02,66.5
1981-02-09,68.8
1981-02-16,71.2
1981-02-23,73.1
1981-03-02,75.7
1981-03-09,77.6
1981-03-16,80.1
1981-03-23,82.9
1981-03-30,86.1
1981-04-06,88.9
1981-04-13,92.2
1981-04-20,94.0
1981-04-27,94.7
1981-05-04,95.7
1981-05-11,96.5
1981-05-18,97.0
1981-05-25,96.9
1981-06-01,97.0
1981-06-08,97.6
1981-06-15,99.0
1981-06-22,100.4
1981-06-29,102.4
1981-07-06,104.6
1981-07-13,107.0
1981-07-20,109.9
1981-07-27,112.4
1981-08-03,114.3
1981-08-10,116.4
1981-08-17,118.4
1981-08-24,120.5
1981-08-31,122.5
1981-09-07,124.4
1981-09-14,126.1
1981-09-21,128.1
1981-09-28,130.3
1981-10-05,131.4
1981-10-12,132.3
1981-10-19,134.0
1981-10-26,135.9
1981-11-02,137.8
1981-11-09,138.5
1981-11-16,140.5
1981-11-23,142.9
1981-11-30,145.3
1981-12-07,147.2
1981-12-14,149.4
1981-12-21,150.2
1981-12-28,149.6
1982-01-04,148.9
1982-01-11,149.8
1982-01-18,152.8
1982-01-25,154.1
1982-02-01,154.8
1982-02-08,154.5
1982-02-15,154.4
